SUBSTATION,PXF,DATE,HYDROGEN,METHANE,ETHANE,ETHYLENE,ACETYLENE,LAT,LNG
Substation2,2,2022-02-13 00:00:00,9.0,17.0,357.0,23.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-14 00:00:00,17.0,5.0,396.0,25.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-15 00:00:00,11.0,150.0,301.0,28.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-16 00:00:00,16.0,199.0,449.0,28.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-17 00:00:00,14.0,227.0,486.0,31.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-18 00:00:00,21.0,182.0,410.0,19.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-19 00:00:00,18.0,204.0,436.0,23.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-20 00:00:00,11.0,204.0,434.0,27.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-21 00:00:00,3.0,211.0,507.0,34.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-22 00:00:00,14.0,206.0,457.0,31.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-23 00:00:00,2.0,211.0,497.0,33.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-24 00:00:00,8.0,180.0,416.0,80.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-25 00:00:00,4.0,230.0,559.0,21.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-26 00:00:00,8.0,234.0,529.0,15.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-27 00:00:00,7.0,216.0,569.0,20.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-28 00:00:00,16.0,255.0,796.0,11.0,0.0,14.96451,120.8985248
Substation2,2,2022-03-01 00:00:00,14.0,222.0,648.0,10.0,0.0,14.96451,120.8985248

